src,dst,packets,duration,rate,mean,std,max,min,tcp,udp,dns,icmp,syn,ack,psh,fin,urg,rst,sport,dport
97.81.96.137,192.168.2.2,201108,2033.9032300000374,98.87786057549862,99.18603436959246,23.1661879363474,668,26,143,200965,0,0,0.13986013986013987,1.0,0.4195804195804196,0.13986013986013987,0.0,0.0,25093.0,50046.43728742765
97.81.96.137,192.168.6.2,178112,1978.7948269999947,90.01034244163226,95.5330353934603,22.890480148790278,666,26,186,177926,0,0,0.11827956989247312,1.0,0.4731182795698925,0.11827956989247312,0.0,0.0,25093.0,18651.958065711464
97.81.96.137,192.168.6.2,172821,1839.431610000053,93.95347946640702,106.82261414990076,23.796086010204323,712,26,423,172398,0,0,0.05200945626477541,1.0,0.508274231678487,0.05200945626477541,0.0,0.0,25093.0,18629.946227599656
192.168.2.2,97.81.96.137,160506,2603.4116179999696,61.65217935199438,93.97356485115822,12.440480855328705,1064,26,214,160292,0,0,0.056074766355140186,0.9439252336448598,0.48598130841121495,0.056074766355140186,0.0,0.018691588785046728,50047.365039313176,25093.0
97.81.96.137,192.168.6.2,158665,2317.3732469999954,68.46760667725975,118.29725522326915,23.3941826006127,712,26,923,157742,0,0,0.021668472372697724,1.0,0.5330444203683641,0.021668472372697724,0.0,0.0,25093.0,18584.259307345666
97.81.96.137,192.168.2.2,153373,1674.765682999809,91.57878117330488,106.37219719246542,21.13207735140208,715,26,563,152810,0,0,0.04440497335701599,1.0,0.6642984014209592,0.04262877442273535,0.0,0.0,25093.0,50047.44891212925
192.168.6.2,97.81.96.137,151772,2659.805171000016,57.061322255771756,103.92774029465251,22.73221820040693,1130,26,951,150821,0,0,0.04311251314405889,0.9568874868559412,0.5120925341745531,0.02103049421661409,0.0,0.0010515247108307045,18577.78934849643,25089.589291832486
192.168.2.2,97.81.96.137,145793,2556.3277970000886,57.03220071036725,92.69359297085595,10.779752208626741,784,26,81,145712,0,0,0.12345679012345678,0.8765432098765432,0.5061728395061729,0.12345679012345678,0.0,0.04938271604938271,50041.21649873451,25093.0
192.168.2.2,97.81.96.137,145068,2419.0638710001513,59.968652229104755,93.44918934568616,12.682678793996223,1064,26,271,144797,0,0,0.03690036900369004,0.9630996309963099,0.6309963099630996,0.03690036900369004,0.0,0.0,50050.70541401274,25093.0
192.168.2.2,97.81.96.137,142952,2456.9050540001163,58.18377058049441,94.5847347361352,14.951265607013747,1135,26,568,142384,0,0,0.02112676056338028,0.9788732394366197,0.41725352112676056,0.02112676056338028,0.0,0.0,50065.789118025634,25093.0
97.81.96.137,192.168.6.2,141150,1539.524393999854,91.68415943918676,107.70024087849805,23.501177636799483,666,26,136,141014,0,0,0.14705882352941177,1.0,0.5220588235294118,0.1323529411764706,0.0,0.0,25093.0,18651.756854410203
97.81.96.137,192.168.6.2,139143,1635.1415350000268,85.09538594773554,120.01264885765005,24.224306083010784,672,26,322,138821,0,0,0.06832298136645963,1.0,0.5372670807453416,0.06832298136645963,0.0,0.0,25093.0,18635.010593418283
97.81.96.137,192.168.6.2,134677,1519.915821999997,88.60819661893109,108.8973841116152,23.381556158168912,672,26,300,134377,0,0,0.06666666666666667,1.0,0.4066666666666667,0.06666666666666667,0.0,0.0,25093.0,18634.40117466234
97.81.96.137,192.168.2.2,110092,1237.232890999967,88.98243879615947,118.44262071721833,23.45190732056993,671,26,217,109875,0,0,0.055299539170506916,1.0,0.543778801843318,0.055299539170506916,0.0,0.0,25093.0,50052.33193147549
